Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
2.984,TraderTwo,Tick,0,10,-10,0,146400,146900,294,1468706,1706,OK
2.984,TraderThree,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.296,TraderOne,Tick,21,10,11,-11,146400,146900,-412,-488,-2688,OK
3.296,TraderTwo,Tick,0,10,-10,0,146400,146900,294,1468706,1706,OK
3.296,TraderThree,Tick,0,0,0,0,146400,146900,0,0,0,OK
3.5,TraderOne,Tick,21,20,1,-1,147500,146900,-559,-1341,-1141,OK
3.5,TraderTwo,Tick,0,10,-10,0,147500,146900,294,1468706,-2294,OK
3.5,TraderThree,Tick,0,0,0,0,147500,146900,0,0,0,OK
3.781,TraderOne,Tick,31,20,11,-11,146300,146900,-706,-1194,-3394,OK
3.781,TraderTwo,Tick,0,10,-10,0,146300,146900,294,1468706,1706,OK
3.781,TraderThree,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.015,TraderOne,Tick,31,20,11,-11,146300,146900,-706,-1194,-3394,OK
4.015,TraderTwo,Tick,0,10,-10,0,146300,146900,294,1468706,1706,OK
4.015,TraderThree,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.25,TraderOne,Tick,31,20,11,-11,146300,146900,-706,-1194,-3394,OK
4.25,TraderTwo,Tick,0,10,-10,0,146300,146900,294,1468706,1706,OK
4.25,TraderThree,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.468,TraderOne,Tick,31,20,11,-11,146300,146900,-706,-1194,-3394,OK
4.468,TraderTwo,Tick,0,10,-10,0,146300,146900,294,1468706,1706,OK
4.468,TraderThree,Tick,0,0,0,0,146300,146900,0,0,0,OK
4.765,TraderOne,Tick,41,20,21,-21,146300,146900,-853,-47,-4247,OK
4.765,TraderTwo,Tick,0,10,-10,0,146300,146900,294,1468706,1706,OK
4.765,TraderThree,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.078,TraderOne,Tick,41,20,21,-21,146300,146900,-853,-47,-4247,OK
5.078,TraderTwo,Tick,0,10,-10,0,146300,146900,294,1468706,1706,OK
5.078,TraderThree,Tick,0,0,0,0,146300,146900,0,0,0,OK
5.296,TraderOne,Tick,41,20,21,-21,146300,146800,-853,-47,-4247,OK
5.296,TraderTwo,Tick,0,10,-10,0,146300,146800,294,1468706,2706,OK
5.296,TraderThree,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.5,TraderOne,Tick,41,20,21,-21,146300,146800,-853,-47,-4247,OK
5.5,TraderTwo,Tick,0,10,-10,0,146300,146800,294,1468706,2706,OK
5.5,TraderThree,Tick,0,0,0,0,146300,146800,0,0,0,OK
5.75,TraderOne,Tick,41,30,11,-11,147000,146800,-1000,-1900,300,OK
5.75,TraderTwo,Tick,0,10,-10,0,147000,146800,294,1468706,-1294,OK
5.75,TraderThree,Tick,10,0,10,0,147000,146800,294,-1470294,-294,OK
6.031,TraderOne,Tick,41,40,1,-1,147000,146800,-706,-2194,-1994,OK
6.031,TraderTwo,Tick,0,10,-10,0,147000,146800,294,1468706,-1294,OK
6.031,TraderThree,Tick,10,0,10,0,147000,146800,294,-1470294,-294,OK
6.781,TraderOne,Tick,41,40,1,-1,147200,146700,-706,-2194,-1994,OK
6.781,TraderTwo,Tick,0,10,-10,0,147200,146700,294,1468706,-294,OK
6.781,TraderThree,Tick,10,0,10,0,147200,146700,294,-1470294,-1294,OK
7.156,TraderOne,Tick,41,50,-9,9,147000,146900,-412,-1488,-2388,OK
7.156,TraderTwo,Tick,0,10,-10,0,147000,146900,294,1468706,-1294,OK
7.156,TraderThree,Tick,10,10,0,10,147000,146900,588,-1469588,-588,OK
7.296,TraderOne,Tick,41,50,-9,9,147000,146900,-412,-1488,-2388,OK
7.296,TraderTwo,Tick,0,10,-10,0,147000,146900,294,1468706,-1294,OK
7.296,TraderThree,Tick,10,10,0,10,147000,146900,588,-1469588,-588,OK
7.453,TraderOne,Tick,41,50,-9,9,147000,146900,-412,-1488,-2388,OK
7.453,TraderTwo,Tick,0,10,-10,0,147000,146900,294,1468706,-1294,OK
7.453,TraderThree,Tick,10,10,0,10,147000,146900,588,-1469588,-588,OK
7.703,TraderOne,Tick,41,50,-9,9,147000,146900,-412,-1488,-2388,OK
7.703,TraderTwo,Tick,0,10,-10,0,147000,146900,294,1468706,-1294,OK
7.703,TraderThree,Tick,10,10,0,10,147000,146900,588,-1469588,-588,OK
8.015,TraderOne,Tick,41,50,-9,9,147000,146900,-412,-1488,-2388,OK
8.015,TraderTwo,Tick,0,10,-10,0,147000,146900,294,1468706,-1294,OK
8.015,TraderThree,Tick,10,20,-10,20,147000,146900,882,-1469882,-1882,OK
8.25,TraderOne,Tick,41,50,-9,9,147000,146900,-412,-1488,-2388,OK
8.25,TraderTwo,Tick,0,10,-10,0,147000,146900,294,1468706,-1294,OK
8.25,TraderThree,Tick,10,30,-20,30,147000,146900,1176,-1470176,-3176,OK
8.531,TraderOne,Tick,41,50,-9,9,147000,146900,-412,-1488,-2388,OK
8.531,TraderTwo,Tick,0,10,-10,0,147000,146900,294,1468706,-1294,OK
8.531,TraderThree,Tick,10,39,-29,39,147000,146900,1441,-1470441,-4341,OK
8.781,TraderOne,Tick,41,50,-9,9,147000,146900,-412,-1488,-2388,OK
8.781,TraderTwo,Tick,0,10,-10,0,147000,146900,294,1468706,-1294,OK
8.781,TraderThree,Tick,10,39,-29,39,147000,146900,1441,-1470441,-4341,OK
9.015,TraderOne,Tick,51,50,1,-1,146700,146900,-559,-2341,-2541,OK
9.015,TraderTwo,Tick,0,10,-10,0,146700,146900,294,1468706,1706,OK
9.015,TraderThree,Tick,10,39,-29,39,146700,146900,1441,-1470441,4359,OK
9.265,TraderOne,Tick,61,50,11,-11,146400,146900,-266,366,-1834,OK
9.265,TraderTwo,Tick,0,10,-10,0,146400,146900,294,1468706,1706,OK
9.265,TraderThree,Tick,10,39,-29,39,146400,146900,1441,-1470441,4359,OK
9.5,TraderOne,Tick,71,50,21,-21,146400,146900,27,3073,-1127,OK
9.5,TraderTwo,Tick,0,10,-10,0,146400,146900,294,1468706,1706,OK
9.5,TraderThree,Tick,20,39,-19,39,146400,146900,1734,-2934734,7066,OK
9.734,TraderOne,Tick,81,50,31,-31,146400,146900,320,3780,-2420,OK
9.734,TraderTwo,Tick,0,10,-10,0,146400,146900,294,1468706,1706,OK
9.734,TraderThree,Tick,30,39,-9,39,146400,146900,2027,-4399027,9773,OK
10.046,TraderOne,Tick,81,50,31,-31,146400,146900,320,3780,-2420,OK
10.046,TraderTwo,Tick,0,10,-10,0,146400,146900,294,1468706,1706,OK
10.046,TraderThree,Tick,40,39,1,39,146400,146900,2320,-5863320,12480,OK
10.25,TraderOne,Tick,81,50,31,-31,146400,146900,320,3780,-2420,OK
10.25,TraderTwo,Tick,0,10,-10,0,146400,146900,294,1468706,1706,OK
10.25,TraderThree,Tick,50,39,11,39,146400,146900,2613,-7327613,15187,OK
10.468,TraderOne,Tick,91,50,41,-41,146400,146900,613,6487,-1713,OK
10.468,TraderTwo,Tick,0,10,-10,0,146400,146900,294,1468706,1706,OK
10.468,TraderThree,Tick,60,39,21,39,146400,146900,2906,-8791906,17894,OK
10.765,TraderOne,Tick,101,50,51,-51,146200,147000,906,10194,-6,OK
10.765,TraderTwo,Tick,0,10,-10,0,146200,147000,294,1468706,706,OK
10.765,TraderThree,Tick,70,39,31,39,146200,147000,3199,-10256199,27601,OK
11.046,TraderOne,Tick,101,70,31,-31,146700,147000,613,-1513,-7713,OK
11.046,TraderTwo,Tick,0,10,-10,0,146700,147000,294,1468706,706,OK
11.046,TraderThree,Tick,80,39,41,39,146700,147000,3492,-11723492,28308,OK
11.218,TraderOne,Tick,101,80,21,-21,146900,147000,466,-4366,-6466,OK
11.218,TraderTwo,Tick,0,10,-10,0,146900,147000,294,1468706,-294,OK
11.218,TraderThree,Tick,90,39,51,39,146900,147000,3786,-13192786,32114,OK
11.562,TraderOne,Tick,101,90,11,-11,147000,147000,319,-6219,-6219,OK
11.562,TraderTwo,Tick,0,10,-10,0,147000,147000,294,1468706,-1294,OK
11.562,TraderThree,Tick,100,39,61,39,147000,147000,4080,-14663080,36920,OK
11.734,TraderOne,Tick,101,90,11,-11,147000,147200,319,-6219,-8419,OK
11.734,TraderTwo,Tick,0,10,-10,0,147000,147200,294,1468706,-1294,OK
11.734,TraderThree,Tick,100,39,61,39,147000,147200,4080,-14663080,44720,OK
11.968,TraderOne,Tick,101,100,1,-1,147400,147200,172,-6072,-5872,OK
11.968,TraderTwo,Tick,0,10,-10,0,147400,147200,294,1468706,-5294,OK
11.968,TraderThree,Tick,100,39,61,39,147400,147200,4080,-14663080,69120,OK
12.265,TraderOne,Tick,101,100,1,-1,147400,147200,172,-6072,-5872,OK
12.265,TraderTwo,Tick,0,10,-10,0,147400,147200,294,1468706,-5294,OK
12.265,TraderThree,Tick,100,39,61,39,147400,147200,4080,-14663080,69120,OK
12.531,TraderOne,Tick,101,100,1,-1,147400,147200,172,-6072,-5872,OK
12.531,TraderTwo,Tick,0,10,-10,0,147400,147200,294,1468706,-5294,OK
12.531,TraderThree,Tick,100,39,61,39,147400,147200,4080,-14663080,69120,OK
12.781,TraderOne,Tick,101,100,1,-1,147400,147200,172,-6072,-5872,OK
12.781,TraderTwo,Tick,0,10,-10,0,147400,147200,294,1468706,-5294,OK
12.781,TraderThree,Tick,100,39,61,39,147400,147200,4080,-14663080,69120,OK
13.015,TraderOne,Tick,101,100,1,-1,147400,147200,172,-6072,-5872,OK
13.015,TraderTwo,Tick,0,10,-10,0,147400,147200,294,1468706,-5294,OK
13.015,TraderThree,Tick,100,39,61,39,147400,147200,4080,-14663080,69120,OK
13.25,TraderOne,Tick,111,100,11,-11,146700,147200,25,-5925,-8125,OK
13.25,TraderTwo,Tick,0,10,-10,0,146700,147200,294,1468706,-1294,OK
13.25,TraderThree,Tick,100,39,61,39,146700,147200,4080,-14663080,44720,OK
13.5,TraderOne,Tick,111,100,11,-11,146700,147200,25,-5925,-8125,OK
13.5,TraderTwo,Tick,0,10,-10,0,146700,147200,294,1468706,-1294,OK
13.5,TraderThree,Tick,100,39,61,39,146700,147200,4080,-14663080,44720,OK
13.734,TraderOne,Tick,111,100,11,-11,146700,147200,25,-5925,-8125,OK
13.734,TraderTwo,Tick,0,10,-10,0,146700,147200,294,1468706,-1294,OK
13.734,TraderThree,Tick,100,39,61,39,146700,147200,4080,-14663080,44720,OK
13.984,TraderOne,Tick,111,100,11,-11,146700,147200,25,-5925,-8125,OK
13.984,TraderTwo,Tick,0,10,-10,0,146700,147200,294,1468706,-1294,OK
13.984,TraderThree,Tick,100,39,61,39,146700,147200,4080,-14663080,44720,OK
14.281,TraderOne,Tick,111,100,11,-11,146700,147200,25,-5925,-8125,OK
14.281,TraderTwo,Tick,0,10,-10,0,146700,147200,294,1468706,-1294,OK
14.281,TraderThree,Tick,100,39,61,39,146700,147200,4080,-14663080,44720,OK
14.468,TraderOne,Tick,121,100,21,-21,146900,147200,319,-5219,-9419,OK
14.468,TraderTwo,Tick,0,10,-10,0,146900,147200,294,1468706,-1294,OK
14.468,TraderThree,Tick,110,39,71,39,146900,147200,4374,-16132374,45426,OK
14.75,TraderOne,Tick,121,100,21,-21,146900,147200,319,-5219,-9419,OK
14.75,TraderTwo,Tick,0,10,-10,0,146900,147200,294,1468706,-1294,OK
14.75,TraderThree,Tick,110,39,71,39,146900,147200,4374,-16132374,45426,OK
14.968,TraderOne,Tick,121,100,21,-21,146900,147200,319,-5219,-9419,OK
14.968,TraderTwo,Tick,0,10,-10,0,146900,147200,294,1468706,-1294,OK
14.968,TraderThree,Tick,110,39,71,39,146900,147200,4374,-16132374,45426,OK
15.296,TraderOne,Tick,121,100,21,-21,146900,147200,319,-5219,-9419,OK
15.296,TraderTwo,Tick,0,10,-10,0,146900,147200,294,1468706,-1294,OK
15.296,TraderThree,Tick,110,39,71,39,146900,147200,4374,-16132374,45426,OK
15.578,TraderOne,Tick,121,100,21,-21,146900,146800,319,-5219,-3119,OK
15.578,TraderTwo,Tick,0,10,-10,0,146900,146800,294,1468706,-294,OK
15.578,TraderThree,Tick,110,39,71,39,146900,146800,4374,-16132374,22726,OK
16.093,TraderOne,Tick,121,120,1,-1,146600,146900,465,-6665,-6865,OK
16.093,TraderTwo,Tick,0,10,-10,0,146600,146900,294,1468706,1706,OK
16.093,TraderThree,Tick,110,39,71,39,146600,146900,4374,-16132374,12426,OK
16.296,TraderOne,Tick,121,120,1,-1,146600,146900,465,-6665,-6865,OK
16.296,TraderTwo,Tick,0,10,-10,0,146600,146900,294,1468706,1706,OK
16.296,TraderThree,Tick,110,39,71,39,146600,146900,4374,-16132374,12426,OK
16.5,TraderOne,Tick,121,120,1,-1,146600,146900,465,-6665,-6865,OK
16.5,TraderTwo,Tick,0,10,-10,0,146600,146900,294,1468706,1706,OK
16.5,TraderThree,Tick,110,39,71,39,146600,146900,4374,-16132374,12426,OK
16.781,TraderOne,Tick,121,120,1,-1,146600,146900,465,-6665,-6865,OK
16.781,TraderTwo,Tick,0,10,-10,0,146600,146900,294,1468706,1706,OK
16.781,TraderThree,Tick,110,39,71,39,146600,146900,4374,-16132374,12426,OK
17.0,TraderOne,Tick,121,120,1,-1,146600,146900,465,-6665,-6865,OK
17.0,TraderTwo,Tick,0,10,-10,0,146600,146900,294,1468706,1706,OK
17.0,TraderThree,Tick,110,39,71,39,146600,146900,4374,-16132374,12426,OK
17.25,TraderOne,Tick,121,120,1,-1,146600,146900,465,-6665,-6865,OK
17.25,TraderTwo,Tick,0,10,-10,0,146600,146900,294,1468706,1706,OK
17.25,TraderThree,Tick,110,39,71,39,146600,146900,4374,-16132374,12426,OK
17.515,TraderOne,Tick,121,120,1,-1,146600,146900,465,-6665,-6865,OK
17.515,TraderTwo,Tick,0,10,-10,0,146600,146900,294,1468706,1706,OK
17.515,TraderThree,Tick,110,39,71,39,146600,146900,4374,-16132374,12426,OK
17.796,TraderOne,Tick,131,120,11,-11,146900,146900,759,-5959,-5959,OK
17.796,TraderTwo,Tick,0,10,-10,0,146900,146900,294,1468706,-294,OK
17.796,TraderThree,Tick,110,39,71,39,146900,146900,4374,-16132374,26626,OK
17.953,TraderOne,Tick,141,120,21,-21,146600,146900,1053,-6253,-10453,OK
17.953,TraderTwo,Tick,0,10,-10,0,146600,146900,294,1468706,1706,OK
17.953,TraderThree,Tick,110,39,71,39,146600,146900,4374,-16132374,12426,OK
18.234,TraderOne,Tick,141,120,21,-21,146600,146900,1053,-6253,-10453,OK
18.234,TraderTwo,Tick,0,10,-10,0,146600,146900,294,1468706,1706,OK
18.234,TraderThree,Tick,110,39,71,39,146600,146900,4374,-16132374,12426,OK
18.531,TraderOne,Tick,141,120,21,-21,146600,147100,1053,-6253,-10453,OK
18.531,TraderTwo,Tick,0,10,-10,0,146600,147100,294,1468706,-294,OK
18.531,TraderThree,Tick,110,39,71,39,146600,147100,4374,-16132374,34426,OK
18.703,TraderOne,Tick,141,120,21,-21,146600,147100,1053,-6253,-10453,OK
18.703,TraderTwo,Tick,0,10,-10,0,146600,147100,294,1468706,-294,OK
18.703,TraderThree,Tick,110,39,71,39,146600,147100,4374,-16132374,34426,OK
18.968,TraderOne,Tick,141,120,21,-21,146600,147100,1053,-6253,-10453,OK
18.968,TraderTwo,Tick,0,10,-10,0,146600,147100,294,1468706,-294,OK
18.968,TraderThree,Tick,110,39,71,39,146600,147100,4374,-16132374,34426,OK
19.203,TraderOne,Tick,141,120,21,-21,146600,147100,1053,-6253,-10453,OK
19.203,TraderTwo,Tick,0,10,-10,0,146600,147100,294,1468706,-294,OK
19.203,TraderThree,Tick,110,39,71,39,146600,147100,4374,-16132374,34426,OK
19.484,TraderOne,Tick,141,120,21,-21,146600,147200,1053,-6253,-10453,OK
19.484,TraderTwo,Tick,0,10,-10,0,146600,147200,294,1468706,-1294,OK
19.484,TraderThree,Tick,110,39,71,39,146600,147200,4374,-16132374,45426,OK
19.796,TraderOne,Tick,151,120,31,-31,147000,147200,1347,-4547,-10747,OK
19.796,TraderTwo,Tick,0,10,-10,0,147000,147200,294,1468706,-1294,OK
19.796,TraderThree,Tick,120,39,81,39,147000,147200,4668,-17602268,45532,OK
20.093,TraderOne,Tick,151,120,31,-31,147000,147200,1347,-4547,-10747,OK
20.093,TraderTwo,Tick,0,10,-10,0,147000,147200,294,1468706,-1294,OK
20.093,TraderThree,Tick,120,39,81,39,147000,147200,4668,-17602268,45532,OK
20.265,TraderOne,Tick,151,120,31,-31,147000,147200,1347,-4547,-10747,OK
20.265,TraderTwo,Tick,0,10,-10,0,147000,147200,294,1468706,-1294,OK
20.265,TraderThree,Tick,130,39,91,39,147000,147200,4962,-19072562,45238,OK
20.656,TraderOne,Tick,161,120,41,-41,147000,147900,1641,-841,-9041,OK
20.656,TraderTwo,Tick,0,10,-10,0,147000,147900,294,1468706,-8294,OK
20.656,TraderThree,Tick,130,39,91,39,147000,147900,4962,-19072562,136238,OK
20.828,TraderOne,Tick,161,140,21,-31,147600,147900,1789,1469011,-14189,OK
20.828,TraderTwo,Tick,0,10,-10,0,147600,147900,294,1468706,-8294,OK
20.828,TraderThree,Tick,130,39,91,39,147600,147900,4962,-19072562,136238,OK
21.046,TraderOne,Tick,161,140,21,-21,147600,147900,1789,-9989,-14189,OK
21.046,TraderTwo,Tick,0,10,-10,0,147600,147900,294,1468706,-8294,OK
21.046,TraderThree,Tick,130,39,91,39,147600,147900,4962,-19072562,136238,OK
21.281,TraderOne,Tick,161,140,21,-21,147600,147900,1789,-9989,-14189,OK
21.281,TraderTwo,Tick,0,10,-10,0,147600,147900,294,1468706,-8294,OK
21.281,TraderThree,Tick,130,39,91,39,147600,147900,4962,-19072562,136238,OK
21.468,TraderOne,Tick,171,140,31,-31,147700,147900,2084,-8284,-14484,OK
21.468,TraderTwo,Tick,0,10,-10,0,147700,147900,294,1468706,-8294,OK
21.468,TraderThree,Tick,130,39,91,39,147700,147900,4962,-19072562,136238,OK
21.734,TraderOne,Tick,171,140,31,-31,147700,147900,2084,-8284,-14484,OK
21.734,TraderTwo,Tick,0,10,-10,0,147700,147900,294,1468706,-8294,OK
21.734,TraderThree,Tick,130,39,91,39,147700,147900,4962,-19072562,136238,OK
22.046,TraderOne,Tick,171,140,31,-31,147700,148000,2084,-8284,-14484,OK
22.046,TraderTwo,Tick,0,10,-10,0,147700,148000,294,1468706,-9294,OK
22.046,TraderThree,Tick,130,39,91,39,147700,148000,4962,-19072562,149238,OK
22.218,TraderOne,Tick,171,140,31,-31,147700,148000,2084,-8284,-14484,OK
22.218,TraderTwo,Tick,0,10,-10,0,147700,148000,294,1468706,-9294,OK
22.218,TraderThree,Tick,130,39,91,39,147700,148000,4962,-19072562,149238,OK
22.484,TraderOne,Tick,181,140,41,-41,147700,148100,2379,-5579,-13779,OK
22.484,TraderTwo,Tick,0,10,-10,0,147700,148100,294,1468706,-10294,OK
22.484,TraderThree,Tick,130,39,91,39,147700,148100,4962,-19072562,162238,OK
22.781,TraderOne,Tick,181,140,41,-41,147700,148200,2379,-5579,-13779,OK
22.781,TraderTwo,Tick,0,10,-10,0,147700,148200,294,1468706,-11294,OK
22.781,TraderThree,Tick,130,39,91,39,147700,148200,4962,-19072562,175238,OK
23.0,TraderOne,Tick,191,140,51,-51,147700,148000,2674,-2874,-13074,OK
23.0,TraderTwo,Tick,0,10,-10,0,147700,148000,294,1468706,-9294,OK
23.0,TraderThree,Tick,130,39,91,39,147700,148000,4962,-19072562,149238,OK
23.265,TraderOne,Tick,191,150,41,-41,147600,148000,2969,-8169,-16369,OK
23.265,TraderTwo,Tick,0,10,-10,0,147600,148000,294,1468706,-9294,OK
23.265,TraderThree,Tick,130,39,91,39,147600,148000,4962,-19072562,149238,OK
23.546,TraderOne,Tick,191,156,35,-35,147600,147700,3146,-8946,-12446,OK
23.546,TraderTwo,Tick,0,10,-10,0,147600,147700,294,1468706,-7294,OK
23.546,TraderThree,Tick,130,39,91,39,147600,147700,4962,-19072562,119338,OK
23.75,TraderOne,Tick,191,156,35,-35,147600,147700,3146,-8946,-12446,OK
23.75,TraderTwo,Tick,0,10,-10,0,147600,147700,294,1468706,-7294,OK
23.75,TraderThree,Tick,130,39,91,39,147600,147700,4962,-19072562,119338,OK
23.984,TraderOne,Tick,191,156,35,-35,147600,147700,3146,-8946,-12446,OK
23.984,TraderTwo,Tick,0,10,-10,0,147600,147700,294,1468706,-7294,OK
23.984,TraderThree,Tick,130,39,91,39,147600,147700,4962,-19072562,119338,OK
24.234,TraderOne,Tick,201,156,45,-45,147400,147700,3441,-6241,-15241,OK
24.234,TraderTwo,Tick,0,10,-10,0,147400,147700,294,1468706,-6294,OK
24.234,TraderThree,Tick,130,39,91,39,147400,147700,4962,-19072562,110238,OK
24.562,TraderOne,Tick,201,156,45,-45,147400,147700,3441,-6241,-15241,OK
24.562,TraderTwo,Tick,0,10,-10,0,147400,147700,294,1468706,-6294,OK
24.562,TraderThree,Tick,130,39,91,39,147400,147700,4962,-19072562,110238,OK
24.781,TraderOne,Tick,201,156,45,-45,147400,148100,3441,-6241,-15241,OK
24.781,TraderTwo,Tick,0,10,-10,0,147400,148100,294,1468706,-10294,OK
24.781,TraderThree,Tick,130,39,91,39,147400,148100,4962,-19072562,162238,OK
24.953,TraderOne,Tick,211,156,55,-55,147700,148100,3736,-2536,-13536,OK
24.953,TraderTwo,Tick,0,10,-10,0,147700,148100,294,1468706,-10294,OK
24.953,TraderThree,Tick,130,39,91,39,147700,148100,4962,-19072562,162238,OK
25.265,TraderOne,Tick,221,156,65,-65,147700,148200,4031,2169,-10831,OK
25.265,TraderTwo,Tick,0,10,-10,0,147700,148200,294,1468706,-11294,OK
25.265,TraderThree,Tick,130,39,91,39,147700,148200,4962,-19072562,175238,OK
25.968,TraderOne,Tick,221,166,55,-55,147600,147900,4326,-4126,-15126,OK
25.968,TraderTwo,Tick,0,10,-10,0,147600,147900,294,1468706,-8294,OK
25.968,TraderThree,Tick,130,39,91,39,147600,147900,4962,-19072562,136238,OK
26.078,TraderOne,Tick,221,166,55,-55,147700,147900,4326,-4126,-15126,OK
26.078,TraderTwo,Tick,0,10,-10,0,147700,147900,294,1468706,-8294,OK
26.078,TraderThree,Tick,130,39,91,39,147700,147900,4962,-19072562,136238,OK
26.296,TraderOne,Tick,221,166,55,-55,147700,147900,4326,-4126,-15126,OK
26.296,TraderTwo,Tick,0,10,-10,0,147700,147900,294,1468706,-8294,OK
26.296,TraderThree,Tick,130,39,91,39,147700,147900,4962,-19072562,136238,OK
26.546,TraderOne,Tick,221,166,55,-55,147400,147900,4326,-4126,-15126,OK
26.546,TraderTwo,Tick,0,10,-10,0,147400,147900,294,1468706,-8294,OK
26.546,TraderThree,Tick,130,39,91,39,147400,147900,4962,-19072562,136238,OK
26.718,TraderOne,Tick,221,166,55,-55,147400,147900,4326,-4126,-15126,OK
26.718,TraderTwo,Tick,0,10,-10,0,147400,147900,294,1468706,-8294,OK
26.718,TraderThree,Tick,130,39,91,39,147400,147900,4962,-19072562,136238,OK
27.015,TraderOne,Tick,221,166,55,-55,147400,147900,4326,-4126,-15126,OK
27.015,TraderTwo,Tick,0,10,-10,0,147400,147900,294,1468706,-8294,OK
27.015,TraderThree,Tick,130,39,91,39,147400,147900,4962,-19072562,136238,OK
27.312,TraderOne,Tick,231,166,65,-65,147400,147900,4179,1021,-11979,OK
27.312,TraderTwo,Tick,0,10,-10,0,147400,147900,294,1468706,-8294,OK
27.312,TraderThree,Tick,130,39,91,39,147400,147900,4962,-19072562,136238,OK
27.453,TraderOne,Tick,231,166,65,-65,147400,147900,4179,1021,-11979,OK
27.453,TraderTwo,Tick,0,10,-10,0,147400,147900,294,1468706,-8294,OK
27.453,TraderThree,Tick,130,39,91,39,147400,147900,4962,-19072562,136238,OK
27.781,TraderOne,Tick,231,166,65,-65,147400,147800,4179,1021,-11979,OK
27.781,TraderTwo,Tick,0,10,-10,0,147400,147800,294,1468706,-7294,OK
27.781,TraderThree,Tick,130,39,91,39,147400,147800,4962,-19072562,123238,OK
27.984,TraderOne,Tick,241,176,65,-55,147200,147800,4327,-1477127,-12127,OK
27.984,TraderTwo,Tick,0,10,-10,0,147200,147800,294,1468706,-7294,OK
27.984,TraderThree,Tick,130,39,91,39,147200,147800,4962,-19072562,123238,OK
28.281,TraderOne,Tick,241,186,55,-55,147200,147800,4621,-7421,-18421,OK
28.281,TraderTwo,Tick,0,10,-10,0,147200,147800,294,1468706,-7294,OK
28.281,TraderThree,Tick,130,39,91,39,147200,147800,4962,-19072562,123238,OK
